"AGE,""SEX"",""TIME"",""GEO"",""UNIT"",""INDIC_EM"",""Value"""
"From 15 to 24 years,""Males"",""2005"",""Belgium"",""Percentage of total population"",""Active population"",""37.6"""
"From 15 to 24 years,""Males"",""2005"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.7"""
"From 15 to 24 years,""Males"",""2005"",""Bulgaria"",""Percentage of total population"",""Active population"",""31.1"""
"From 15 to 24 years,""Males"",""2005"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""23.9"""
"From 15 to 24 years,""Males"",""2005"",""Czechia"",""Percentage of total population"",""Active population"",""38.9"""
"From 15 to 24 years,""Males"",""2005"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.3"""
"From 15 to 24 years,""Males"",""2005"",""Denmark"",""Percentage of total population"",""Active population"",""70.0"""
"From 15 to 24 years,""Males"",""2005"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""63.9"""
"From 15 to 24 years,""Males"",""2005"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""52.4"""
"From 15 to 24 years,""Males"",""2005"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.6"""
"From 15 to 24 years,""Males"",""2005"",""Estonia"",""Percentage of total population"",""Active population"",""41.2"""
"From 15 to 24 years,""Males"",""2005"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""34.5"""
"From 15 to 24 years,""Males"",""2005"",""Ireland"",""Percentage of total population"",""Active population"",""71.0"""
"From 15 to 24 years,""Males"",""2005"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""64.3"""
"From 15 to 24 years,""Males"",""2005"",""Greece"",""Percentage of total population"",""Active population"",""36.9"""
"From 15 to 24 years,""Males"",""2005"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.9"""
"From 15 to 24 years,""Males"",""2005"",""Spain"",""Percentage of total population"",""Active population"",""52.5"""
"From 15 to 24 years,""Males"",""2005"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.8"""
"From 15 to 24 years,""Males"",""2005"",""France"",""Percentage of total population"",""Active population"",""41.7"""
"From 15 to 24 years,""Males"",""2005"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.4"""
"From 15 to 24 years,""Males"",""2005"",""Croatia"",""Percentage of total population"",""Active population"",""43.4"""
"From 15 to 24 years,""Males"",""2005"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.7"""
"From 15 to 24 years,""Males"",""2005"",""Italy"",""Percentage of total population"",""Active population"",""38.8"""
"From 15 to 24 years,""Males"",""2005"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.4"""
"From 15 to 24 years,""Males"",""2005"",""Cyprus"",""Percentage of total population"",""Active population"",""46.6"""
"From 15 to 24 years,""Males"",""2005"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""40.5"""
"From 15 to 24 years,""Males"",""2005"",""Latvia"",""Percentage of total population"",""Active population"",""43.9"""
"From 15 to 24 years,""Males"",""2005"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.3"""
"From 15 to 24 years,""Males"",""2005"",""Lithuania"",""Percentage of total population"",""Active population"",""29.6"""
"From 15 to 24 years,""Males"",""2005"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.9"""
"From 15 to 24 years,""Males"",""2005"",""Luxembourg"",""Percentage of total population"",""Active population"",""32.1"""
"From 15 to 24 years,""Males"",""2005"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.4"""
"From 15 to 24 years,""Males"",""2005"",""Hungary"",""Percentage of total population"",""Active population"",""30.3"""
"From 15 to 24 years,""Males"",""2005"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.4"""
"From 15 to 24 years,""Males"",""2005"",""Malta"",""Percentage of total population"",""Active population"",""55.8"""
"From 15 to 24 years,""Males"",""2005"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.7"""
"From 15 to 24 years,""Males"",""2005"",""Netherlands"",""Percentage of total population"",""Active population"",""68.2"""
"From 15 to 24 years,""Males"",""2005"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""59.5"""
"From 15 to 24 years,""Males"",""2005"",""Austria"",""Percentage of total population"",""Active population"",""62.0"""
"From 15 to 24 years,""Males"",""2005"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""54.8"""
"From 15 to 24 years,""Males"",""2005"",""Poland"",""Percentage of total population"",""Active population"",""39.5"""
"From 15 to 24 years,""Males"",""2005"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.4"""
"From 15 to 24 years,""Males"",""2005"",""Portugal"",""Percentage of total population"",""Active population"",""46.0"""
"From 15 to 24 years,""Males"",""2005"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.6"""
"From 15 to 24 years,""Males"",""2005"",""Romania"",""Percentage of total population"",""Active population"",""35.9"""
"From 15 to 24 years,""Males"",""2005"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.2"""
"From 15 to 24 years,""Males"",""2005"",""Slovenia"",""Percentage of total population"",""Active population"",""44.5"""
"From 15 to 24 years,""Males"",""2005"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.1"""
"From 15 to 24 years,""Males"",""2005"",""Slovakia"",""Percentage of total population"",""Active population"",""40.7"""
"From 15 to 24 years,""Males"",""2005"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.1"""
"From 15 to 24 years,""Males"",""2005"",""Finland"",""Percentage of total population"",""Active population"",""50.9"""
"From 15 to 24 years,""Males"",""2005"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""40.4"""
"From 15 to 24 years,""Males"",""2005"",""Sweden"",""Percentage of total population"",""Active population"",""49.0"""
"From 15 to 24 years,""Males"",""2005"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.2"""
"From 15 to 24 years,""Males"",""2005"",""United Kingdom"",""Percentage of total population"",""Active population"",""65.2"""
"From 15 to 24 years,""Males"",""2005"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""55.8"""
"From 15 to 24 years,""Males"",""2006"",""Belgium"",""Percentage of total population"",""Active population"",""37.4"""
"From 15 to 24 years,""Males"",""2006"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.4"""
"From 15 to 24 years,""Males"",""2006"",""Bulgaria"",""Percentage of total population"",""Active population"",""31.3"""
"From 15 to 24 years,""Males"",""2006"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.4"""
"From 15 to 24 years,""Males"",""2006"",""Czechia"",""Percentage of total population"",""Active population"",""37.7"""
"From 15 to 24 years,""Males"",""2006"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.5"""
"From 15 to 24 years,""Males"",""2006"",""Denmark"",""Percentage of total population"",""Active population"",""70.5"""
"From 15 to 24 years,""Males"",""2006"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""65.0"""
"From 15 to 24 years,""Males"",""2006"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""53.1"""
"From 15 to 24 years,""Males"",""2006"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""45.3"""
"From 15 to 24 years,""Males"",""2006"",""Estonia"",""Percentage of total population"",""Active population"",""40.9"""
