LETO,DRZAVA,SPOL,STAROST,INDIKATOR,VREDNOST
2011,Belgija,moški,15-24,Delež aktivne populacije,34.1
2011,Belgija,moški,15-24,Delež celotne populacije,27.7
2011,Bolgarija,moški,15-24,Delež aktivne populacije,33.9
2011,Bolgarija,moški,15-24,Delež celotne populacije,25.1
2011,Češka,moški,15-24,Delež aktivne populacije,35.5
2011,Češka,moški,15-24,Delež celotne populacije,29
2011,Danska,moški,15-24,Delež aktivne populacije,63.4
2011,Danska,moški,15-24,Delež celotne populacije,51.9
2011,Nemčija,moški,15-24,Delež aktivne populacije,54.8
2011,Nemčija,moški,15-24,Delež celotne populacije,49.7
2011,Estonija,moški,15-24,Delež aktivne populacije,43.4
2011,Estonija,moški,15-24,Delež celotne populacije,33.1
2011,Irska,moški,15-24,Delež aktivne populacije,53.6
2011,Irska,moški,15-24,Delež celotne populacije,34.2
2011,Grčija,moški,15-24,Delež aktivne populacije,31.7
2011,Grčija,moški,15-24,Delež celotne populacije,19.4
2011,Španija,moški,15-24,Delež aktivne populacije,42.6
2011,Španija,moški,15-24,Delež celotne populacije,22.1
2011,Francija,moški,15-24,Delež aktivne populacije,41
2011,Francija,moški,15-24,Delež celotne populacije,32
2011,Hrvaška,moški,15-24,Delež aktivne populacije,37.8
2011,Hrvaška,moški,15-24,Delež celotne populacije,23.8
2011,Italija,moški,15-24,Delež aktivne populacije,31.2
2011,Italija,moški,15-24,Delež celotne populacije,22.8
2011,Ciper,moški,15-24,Delež aktivne populacije,41.4
2011,Ciper,moški,15-24,Delež celotne populacije,31.8
2011,Latvija,moški,15-24,Delež aktivne populacije,41.1
2011,Latvija,moški,15-24,Delež celotne populacije,28.3
2011,Litva,moški,15-24,Delež aktivne populacije,32.1
2011,Litva,moški,15-24,Delež celotne populacije,20.9
2011,Luksemburg,moški,15-24,Delež aktivne populacije,26.3
2011,Luksemburg,moški,15-24,Delež celotne populacije,22.8
2011,Madžarska,moški,15-24,Delež aktivne populacije,27
2011,Madžarska,moški,15-24,Delež celotne populacije,19.7
2011,Malta,moški,15-24,Delež aktivne populacije,55.7
2011,Malta,moški,15-24,Delež celotne populacije,48
2011,Nizozemska,moški,15-24,Delež aktivne populacije,67
2011,Nizozemska,moški,15-24,Delež celotne populacije,60
2011,Avstrija,moški,15-24,Delež aktivne populacije,63.6
2011,Avstrija,moški,15-24,Delež celotne populacije,58
2011,Poljska,moški,15-24,Delež aktivne populacije,38.7
2011,Poljska,moški,15-24,Delež celotne populacije,29.6
2011,Portugalska,moški,15-24,Delež aktivne populacije,40.4
2011,Portugalska,moški,15-24,Delež celotne populacije,28.7
2011,Romunija,moški,15-24,Delež aktivne populacije,35.3
2011,Romunija,moški,15-24,Delež celotne populacije,26.8
2011,Slovenija,moški,15-24,Delež aktivne populacije,42
2011,Slovenija,moški,15-24,Delež celotne populacije,35.7
2011,Slovaška,moški,15-24,Delež aktivne populacije,37.2
2011,Slovaška,moški,15-24,Delež celotne populacije,24.8
2011,Finska,moški,15-24,Delež aktivne populacije,50.5
2011,Finska,moški,15-24,Delež celotne populacije,39.5
2011,Švedska,moški,15-24,Delež aktivne populacije,53.2
2011,Švedska,moški,15-24,Delež celotne populacije,40.8
2011,Velika Britanija,moški,15-24,Delež aktivne populacije,60.7
2011,Velika Britanija,moški,15-24,Delež celotne populacije,46.3
2012,Belgija,moški,15-24,Delež aktivne populacije,35
2012,Belgija,moški,15-24,Delež celotne populacije,27.8
2012,Bolgarija,moški,15-24,Delež aktivne populacije,35.3
2012,Bolgarija,moški,15-24,Delež celotne populacije,24.9
2012,Češka,moški,15-24,Delež aktivne populacije,36.4
2012,Češka,moški,15-24,Delež celotne populacije,29.2
2012,Danska,moški,15-24,Delež aktivne populacije,61
2012,Danska,moški,15-24,Delež celotne populacije,50.8
2012,Nemčija,moški,15-24,Delež aktivne populacije,53.2
2012,Nemčija,moški,15-24,Delež celotne populacije,48.6
2012,Estonija,moški,15-24,Delež aktivne populacije,44.3
2012,Estonija,moški,15-24,Delež celotne populacije,34.2
2012,Irska,moški,15-24,Delež aktivne populacije,51.9
2012,Irska,moški,15-24,Delež celotne populacije,32.5
2012,Grčija,moški,15-24,Delež aktivne populacije,31.2
2012,Grčija,moški,15-24,Delež celotne populacije,16.1
2012,Španija,moški,15-24,Delež aktivne populacije,40.3
2012,Španija,moški,15-24,Delež celotne populacije,18.5
2012,Francija,moški,15-24,Delež aktivne populacije,40.6
2012,Francija,moški,15-24,Delež celotne populacije,30.5
2012,Hrvaška,moški,15-24,Delež aktivne populacije,34.6
2012,Hrvaška,moški,15-24,Delež celotne populacije,20
2012,Italija,moški,15-24,Delež aktivne populacije,32.9
2012,Italija,moški,15-24,Delež celotne populacije,21.8
2012,Ciper,moški,15-24,Delež aktivne populacije,42.8
2012,Ciper,moški,15-24,Delež celotne populacije,30.5
2012,Latvija,moški,15-24,Delež aktivne populacije,44
2012,Latvija,moški,15-24,Delež celotne populacije,31.8
2012,Litva,moški,15-24,Delež aktivne populacije,32.4
2012,Litva,moški,15-24,Delež celotne populacije,22.8
2012,Luksemburg,moški,15-24,Delež aktivne populacije,28.8
2012,Luksemburg,moški,15-24,Delež celotne populacije,23.4
2012,Madžarska,moški,15-24,Delež aktivne populacije,27.9
2012,Madžarska,moški,15-24,Delež celotne populacije,19.8
2012,Malta,moški,15-24,Delež aktivne populacije,54.4
2012,Malta,moški,15-24,Delež celotne populacije,47.1
2012,Nizozemska,moški,15-24,Delež aktivne populacije,67.7
2012,Nizozemska,moški,15-24,Delež celotne populacije,59.7
2012,Avstrija,moški,15-24,Delež aktivne populacije,63.1
2012,Avstrija,moški,15-24,Delež celotne populacije,57.1
2012,Poljska,moški,15-24,Delež aktivne populacije,38.5
2012,Poljska,moški,15-24,Delež celotne populacije,29.2
2012,Portugalska,moški,15-24,Delež aktivne populacije,39.2
2012,Portugalska,moški,15-24,Delež celotne populacije,24.8
2012,Romunija,moški,15-24,Delež aktivne populacije,35.3
2012,Romunija,moški,15-24,Delež celotne populacije,27.5
