freq;age;unit;sex;indic_em;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;Y15-24;PC_POP;F;ACT;AT,54.1 ,54.1 ,56.0 b,56.2 ,56.2 ,54.0 ,54.8 ,55.4 ,55.3 ,55.4 ,54.1 ,54.6 ,53.7 ,53.8 ,52.5 
A;Y15-24;PC_POP;F;ACT;BE,32.3 ,31.9 ,31.6 ,30.8 ,29.9 ,29.8 ,29.8 ,27.9 ,28.2 ,28.1 ,27.1 ,26.2 ,25.4 b,27.7 ,29.5 
A;Y15-24;PC_POP;F;ACT;BG,24.5 ,26.4 ,26.0 ,26.1 ,24.8 ,26.6 b,24.8 b,25.3 ,24.7 ,22.7 ,21.2 ,19.6 ,21.8 ,19.3 ,20.1 
A;Y15-24;PC_POP;F;ACT;CY,39.0 ,38.3 ,39.7 ,40.5 ,38.8 b,40.2 ,36.6 ,35.5 ,36.3 ,39.5 ,38.9 ,38.5 ,39.8 ,41.8 ,39.9 
A;Y15-24;PC_POP;F;ACT;CZ,28.9 ,29.2 ,26.9 ,26.1 ,26.1 ,25.3 ,24.1 b,25.9 ,26.1 ,26.1 ,27.4 ,26.2 ,26.6 ,26.2 ,25.9 
A;Y15-24;PC_POP;F;ACT;DE,46.7 b,47.6 ,49.0 ,49.5 ,49.2 ,48.8 b,50.0 b,48.0 ,48.7 ,47.7 ,47.1 ,47.4 ,48.3 ,47.8 ,48.4 
A;Y15-24;PC_POP;F;ACT;DK,66.2 ,69.3 ,69.1 ,68.2 b,67.2 ,63.9 ,63.3 ,60.9 ,59.0 ,58.8 ,58.9 ,61.2 b,61.2 b,60.8 ,61.8 
A;Y15-24;PC_POP;F;ACT;EE,31.1 ,30.4 ,32.1 ,37.1 ,34.1 ,34.3 ,36.5 ,37.2 ,38.2 ,37.0 ,37.7 ,40.4 ,42.4 ,45.0 ,43.0 
A;Y15-24;PC_POP;F;ACT;EL,30.4 ,28.6 ,27.5 ,26.1 ,27.4 b,27.1 ,26.6 ,27.0 ,25.3 ,26.1 ,24.3 ,22.9 ,23.9 ,21.5 ,21.0 
A;Y15-24;PC_POP;F;ACT;ES,43.0 b,44.0 ,43.4 ,43.7 ,41.7 ,40.2 ,39.2 ,37.6 ,35.9 ,34.0 ,33.2 ,31.3 ,31.5 ,30.8 ,30.7 
A;Y15-24;PC_POP;F;ACT;FI,50.4 ,51.0 ,53.6 ,53.5 ,51.2 ,49.3 ,50.5 ,52.0 ,52.9 ,52.6 ,53.3 ,53.1 ,54.2 ,54.7 ,53.5 
A;Y15-24;PC_POP;F;ACT;FR,33.8 e,33.8 e,34.5 e,34.3 e,35.7 e,34.8 e,34.1 e,33.6 e,33.7 e,33.2 ,33.9 ,34.2 ,33.5 ,33.9 ,34.0 
A;Y15-24;PC_POP;F;ACT;HR,33.2 e,32.0 e,31.5 ,29.9 ,30.0 ,30.7 ,26.9 ,25.3 ,24.8 ,28.5 ,28.0 ,32.3 ,30.2 ,28.8 ,27.3 
A;Y15-24;PC_POP;F;ACT;HU,23.8 ,23.2 ,21.8 ,21.4 ,21.5 ,22.0 ,21.5 ,23.4 ,23.6 ,25.9 ,27.5 ,28.3 ,28.2 ,27.2 ,26.9 
A;Y15-24;PC_POP;F;ACT;IE,61.0 ,61.9 ,64.2 b,61.9 ,57.4 ,51.7 ,49.1 ,48.6 ,48.1 ,45.8 ,44.6 ,48.3 ,45.5 ,45.0 ,45.9 
A;Y15-24;PC_POP;F;ACT;IT,28.7 ,26.9 ,25.4 ,25.5 ,23.7 ,23.1 ,22.8 ,24.0 ,23.4 ,23.1 ,21.7 ,22.8 ,22.1 ,21.9 ,22.0 
A;Y15-24;PC_POP;F;ACT;LT,20.6 ,23.3 ,22.3 ,25.3 ,25.9 ,25.4 ,24.1 ,26.1 ,27.0 ,29.6 ,30.8 ,31.9 ,32.2 ,34.1 ,35.6 
A;Y15-24;PC_POP;F;ACT;LU,25.5 ,25.0 ,22.3 b,27.1 ,29.5 b,22.7 ,23.4 ,24.7 ,21.8 ,23.0 ,34.1 b,31.0 ,28.3 ,32.3 ,31.3 
A;Y15-24;PC_POP;F;ACT;LV,32.0 ,34.0 ,35.8 ,36.5 ,35.9 ,37.2 ,33.7 ,36.1 ,36.0 ,35.3 ,37.1 ,35.9 ,36.5 ,34.7 ,32.8 
A;Y15-24;PC_POP;F;ACT;MT,51.3 b,49.1 ,50.5 ,50.0 ,48.3 ,48.1 ,48.0 ,48.9 ,50.3 ,52.3 ,49.4 ,48.9 ,51.1 ,56.3 ,55.0 
A;Y15-24;PC_POP;F;ACT;NL,66.4 b,66.3 ,68.5 ,69.2 ,69.6 ,68.6 ,69.2 ,70.8 ,70.0 ,67.7 ,69.4 ,69.2 ,69.7 ,69.8 ,70.3 
A;Y15-24;PC_POP;F;ACT;PL,31.8 ,30.7 ,29.3 ,29.6 ,29.4 ,29.6 b,28.1 ,28.4 ,27.9 ,28.7 ,26.9 ,28.9 ,29.7 ,30.7 ,31.0 
A;Y15-24;PC_POP;F;ACT;PT,38.1 ,37.6 ,37.8 ,38.1 ,37.2 ,34.2 ,35.9 b,34.9 ,33.8 ,33.8 ,32.8 ,31.2 ,32.3 ,31.7 ,32.5 
A;Y15-24;PC_POP;F;ACT;RO,26.5 ,25.9 ,24.9 ,24.7 ,25.8 ,25.6 b,25.8 ,25.5 ,24.7 ,24.0 ,25.2 ,21.8 ,25.0 ,24.2 ,23.3 
A;Y15-24;PC_POP;F;ACT;SE,50.8 b,51.9 ,52.7 ,53.1 ,51.0 ,51.3 ,52.8 ,53.4 ,55.2 ,56.0 ,56.5 ,55.5 ,55.4 ,55.5 b,56.2 
A;Y15-24;PC_POP;F;ACT;SI,36.3 ,36.4 ,35.4 ,37.4 ,35.8 ,34.8 ,32.3 ,30.0 ,30.2 ,30.4 ,31.7 ,30.6 ,34.9 ,34.3 ,33.0 
A;Y15-24;PC_POP;F;ACT;SK,32.4 ,30.9 ,30.2 ,26.7 ,25.4 ,25.5 ,22.7 b,23.6 ,23.7 ,23.6 ,24.9 ,24.7 ,26.5 ,24.5 ,22.2 
