LETO,DRŽAVA,SPOL,DELEŽ
2011,Belgija,ženske,3.6
2011,Belgija,moški,3.4
2011,Bolgarija,ženske,5.4
2011,Bolgarija,moški,7
2011,Češka,ženske,3.2
2011,Češka,moški,2.3
2011,Danska,ženske,1.6
2011,Danska,moški,2
2011,Nemčija,ženske,2.6
2011,Nemčija,moški,3
2011,Estonija,ženske,6.3
2011,Estonija,moški,8.1
2011,Irska,ženske,5.8
2011,Irska,moški,11.4
2011,Grčija,ženske,11.6
2011,Grčija,moški,6.8
2011,Španija,ženske,9.3
2011,Španija,moški,8.5
2011,Francija,ženske,4
2011,Francija,moški,3.6
2011,Hrvaška,ženske,8.3
2011,Hrvaška,moški,8.3
2011,Italija,ženske,4.9
2011,Italija,moški,3.8
2011,Ciper,ženske,1.5
2011,Ciper,moški,1.8
2011,Latvija,ženske,6.8
2011,Latvija,moški,11.2
2011,Litva,ženske,6.8
2011,Litva,moški,9.5
2011,Luksemburg,ženske,1.6
2011,Luksemburg,moški,1.3
2011,Madžarska,ženske,5.3
2011,Madžarska,moški,5.3
2011,Malta,ženske,3.1
2011,Malta,moški,3.7
2011,Nizozemska,ženske,1.7
2011,Nizozemska,moški,1.6
2011,Avstrija,ženske,1.1
2011,Avstrija,moški,1.3
2011,Poljska,ženske,4
2011,Poljska,moški,3.3
2011,Portugalska,ženske,6.5
2011,Portugalska,moški,6.2
2011,Romunija,ženske,2.7
2011,Romunija,moški,3.3
2011,Slovenija,ženske,3.6
2011,Slovenija,moški,3.8
2011,Slovaška,ženske,8.9
2011,Slovaška,moški,9.3
2011,Finska,ženske,1.2
2011,Finska,moški,2.3
2011,Švedska,ženske,1.3
2011,Švedska,moški,1.7
2011,Velika Britanija,ženske,1.9
2011,Velika Britanija,moški,3.1
2012,Belgija,ženske,3.2
2012,Belgija,moški,3.5
2012,Bolgarija,ženske,5.7
2012,Bolgarija,moški,7.7
2012,Češka,ženske,3.6
2012,Češka,moški,2.6
2012,Danska,ženske,2.1
2012,Danska,moški,2.3
2012,Nemčija,ženske,2.3
2012,Nemčija,moški,2.7
2012,Estonija,ženske,5
2012,Estonija,moški,6.2
2012,Irska,ženske,6.1
2012,Irska,moški,11.9
2012,Grčija,ženske,17.5
2012,Grčija,moški,12.2
2012,Španija,ženske,11.3
2012,Španija,moški,10.6
2012,Francija,ženske,4.3
2012,Francija,moški,3.9
2012,Hrvaška,ženske,10.2
2012,Hrvaška,moški,10.1
2012,Italija,ženske,6.3
2012,Italija,moški,4.9
2012,Ciper,ženske,3.1
2012,Ciper,moški,3.9
2012,Latvija,ženske,7.2
2012,Latvija,moški,8.8
2012,Litva,ženske,5.9
2012,Litva,moški,7.6
2012,Luksemburg,ženske,1.9
2012,Luksemburg,moški,1.3
2012,Madžarska,ženske,4.8
2012,Madžarska,moški,5.2
2012,Malta,ženske,3.4
2012,Malta,moški,3.3
2012,Nizozemska,ženske,2.1
2012,Nizozemska,moški,1.8
2012,Avstrija,ženske,1.1
2012,Avstrija,moški,1.3
2012,Poljska,ženske,4.6
2012,Poljska,moški,3.7
2012,Portugalska,ženske,7.8
2012,Portugalska,moški,8
2012,Romunija,ženske,2.8
2012,Romunija,moški,3.3
2012,Slovenija,ženske,4.5
2012,Slovenija,moški,4.1
2012,Slovaška,ženske,9.4
2012,Slovaška,moški,9.2
2012,Finska,ženske,1.2
2012,Finska,moški,2.2
2012,Švedska,ženske,1.3
2012,Švedska,moški,1.7
2012,Velika Britanija,ženske,2.1
2012,Velika Britanija,moški,3
2013,Belgija,ženske,3.7
2013,Belgija,moški,4
2013,Bolgarija,ženske,6.6
2013,Bolgarija,moški,8.2
2013,Češka,ženske,3.7
2013,Češka,moški,2.5
2013,Danska,ženske,2.1
2013,Danska,moški,1.7
2013,Nemčija,ženske,2.2
2013,Nemčija,moški,2.6
2013,Estonija,ženske,3.6
2013,Estonija,moški,4.3
2013,Irska,ženske,6
2013,Irska,moški,9.8
2013,Grčija,ženske,21.5
2013,Grčija,moški,16.2
2013,Španija,ženske,13.5
2013,Španija,moški,12.5
2013,Francija,ženske,4.6
2013,Francija,moški,4.3
2013,Hrvaška,ženske,10.6
2013,Hrvaška,moški,11.3
2013,Italija,ženske,7.3
2013,Italija,moški,6.4
2013,Ciper,ženske,5.7
2013,Ciper,moški,6.5
2013,Latvija,ženske,5.1
2013,Latvija,moški,6.6
2013,Litva,ženske,4.7
2013,Litva,moški,5.6
2013,Luksemburg,ženske,1.9
2013,Luksemburg,moški,1.6
2013,Madžarska,ženske,4.9
2013,Madžarska,moški,4.9
2013,Malta,ženske,3
2013,Malta,moški,3.5
2013,Nizozemska,ženske,2.6
2013,Nizozemska,moški,2.5
2013,Avstrija,ženske,1.2
2013,Avstrija,moški,1.4
2013,Poljska,ženske,4.9
2013,Poljska,moški,4.1
2013,Portugalska,ženske,9.3
2013,Portugalska,moški,9.8
2013,Romunija,ženske,3.1
2013,Romunija,moški,3.5
2013,Slovenija,ženske,5.6
2013,Slovenija,moški,5
2013,Slovaška,ženske,9.9
2013,Slovaška,moški,10
2013,Finska,ženske,1.4
2013,Finska,moški,2.1
2013,Švedska,ženske,1.3
2013,Švedska,moški,1.7
2013,Velika Britanija,ženske,2.1
2013,Velika Britanija,moški,3.1
2014,Belgija,ženske,3.8
2014,Belgija,moški,4.7
2014,Bolgarija,ženske,6
2014,Bolgarija,moški,7.7
2014,Češka,ženske,3.2
2014,Češka,moški,2.2
2014,Danska,ženske,1.8
2014,Danska,moški,1.8
2014,Nemčija,ženske,2
2014,Nemčija,moški,2.5
2014,Estonija,ženske,2.8
2014,Estonija,moški,4
2014,Irska,ženske,5.1
2014,Irska,moški,8
2014,Grčija,ženske,22.5
2014,Grčija,moški,17.3
2014,Španija,ženske,13.7
2014,Španija,moški,12.2
2014,Francija,ženske,4.2
2014,Francija,moški,4.7
2014,Hrvaška,ženske,10.6
2014,Hrvaška,moški,9.6
2014,Italija,ženske,8.5
2014,Italija,moški,7
2014,Ciper,ženske,7
2014,Ciper,moški,8.5
2014,Latvija,ženske,4.1
2014,Latvija,moški,5.3
2014,Litva,ženske,4.2
2014,Litva,moški,5.5
2014,Luksemburg,ženske,1.6
2014,Luksemburg,moški,1.6
2014,Madžarska,ženske,3.7
2014,Madžarska,moški,3.6
2014,Malta,ženske,1.9
