LETO,DRŽAVA,SPOL,STAROST,INDIKATOR,VREDNOST
2011,Belgija,moški,15-24,Primarna(0-2),15.2
2011,Belgija,moški,15-24,Sekundarna(3-4),38
2011,Belgija,moški,15-24,Terciarna(5-8),48.8
2012,Belgija,moški,15-24,Primarna(0-2),13.8
2012,Belgija,moški,15-24,Sekundarna(3-4),39.6
2012,Belgija,moški,15-24,Terciarna(5-8),44.7
2013,Belgija,moški,15-24,Primarna(0-2),11.1
2013,Belgija,moški,15-24,Sekundarna(3-4),36.9
2013,Belgija,moški,15-24,Terciarna(5-8),42.5
2014,Belgija,moški,15-24,Primarna(0-2),10.8
2014,Belgija,moški,15-24,Sekundarna(3-4),34.5
2014,Belgija,moški,15-24,Terciarna(5-8),43.2
2015,Belgija,moški,15-24,Primarna(0-2),10.1
2015,Belgija,moški,15-24,Sekundarna(3-4),35.8
2015,Belgija,moški,15-24,Terciarna(5-8),45.8
2016,Belgija,moški,15-24,Primarna(0-2),9.7
2016,Belgija,moški,15-24,Sekundarna(3-4),35.1
2016,Belgija,moški,15-24,Terciarna(5-8),39.5
2017,Belgija,moški,15-24,Primarna(0-2),11.5
2017,Belgija,moški,15-24,Sekundarna(3-4),36
2017,Belgija,moški,15-24,Terciarna(5-8),37.8
2018,Belgija,moški,15-24,Primarna(0-2),13.2
2018,Belgija,moški,15-24,Sekundarna(3-4),37.5
2018,Belgija,moški,15-24,Terciarna(5-8),46.8
2019,Belgija,moški,15-24,Primarna(0-2),13.1
2019,Belgija,moški,15-24,Sekundarna(3-4),40
2019,Belgija,moški,15-24,Terciarna(5-8),45.4
2011,Bolgarija,moški,15-24,Primarna(0-2),5.4
2011,Bolgarija,moški,15-24,Sekundarna(3-4),39.3
2011,Bolgarija,moški,15-24,Terciarna(5-8),61.5
2012,Bolgarija,moški,15-24,Primarna(0-2),6.2
2012,Bolgarija,moški,15-24,Sekundarna(3-4),37.6
2012,Bolgarija,moški,15-24,Terciarna(5-8),62.2
2013,Bolgarija,moški,15-24,Primarna(0-2),5.9
2013,Bolgarija,moški,15-24,Sekundarna(3-4),36.2
2013,Bolgarija,moški,15-24,Terciarna(5-8),55.3
2014,Bolgarija,moški,15-24,Primarna(0-2),7
2014,Bolgarija,moški,15-24,Sekundarna(3-4),35.8
2014,Bolgarija,moški,15-24,Terciarna(5-8),51.7
2015,Bolgarija,moški,15-24,Primarna(0-2),7
2015,Bolgarija,moški,15-24,Sekundarna(3-4),36.9
2015,Bolgarija,moški,15-24,Terciarna(5-8),57.4
2016,Bolgarija,moški,15-24,Primarna(0-2),7.7
2016,Bolgarija,moški,15-24,Sekundarna(3-4),35.4
2016,Bolgarija,moški,15-24,Terciarna(5-8),56.1
2017,Bolgarija,moški,15-24,Primarna(0-2),8.8
2017,Bolgarija,moški,15-24,Sekundarna(3-4),40.1
2017,Bolgarija,moški,15-24,Terciarna(5-8),62.7
2018,Bolgarija,moški,15-24,Primarna(0-2),9.2
2018,Bolgarija,moški,15-24,Sekundarna(3-4),36.3
2018,Bolgarija,moški,15-24,Terciarna(5-8),62
2019,Bolgarija,moški,15-24,Primarna(0-2),11.3
2019,Bolgarija,moški,15-24,Sekundarna(3-4),36.5
2019,Bolgarija,moški,15-24,Terciarna(5-8),69.5
2011,Češka,moški,15-24,Primarna(0-2),4.6
2011,Češka,moški,15-24,Sekundarna(3-4),49.5
2011,Češka,moški,15-24,Terciarna(5-8),36.3
2012,Češka,moški,15-24,Primarna(0-2),5.1
2012,Češka,moški,15-24,Sekundarna(3-4),49.5
2012,Češka,moški,15-24,Terciarna(5-8),27.6
2013,Češka,moški,15-24,Primarna(0-2),5.6
2013,Češka,moški,15-24,Sekundarna(3-4),49.6
2013,Češka,moški,15-24,Terciarna(5-8),36.6
2014,Češka,moški,15-24,Primarna(0-2),7.5
