LETO,DRZAVA,SPOL,RAZLOG,INDIKATOR,VREDNOST
2011,Belgija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.6
2011,Belgija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,80.8
2011,Belgija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1
2011,Belgija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,14.6
2011,Belgija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2011,Belgija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,4.6
2011,Belgija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.7
2011,Belgija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,79.9
2011,Belgija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.7
2011,Belgija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,17.2
2011,Belgija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2011,Belgija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2.9
2011,Bolgarija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3.1
2011,Bolgarija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,74.3
2011,Bolgarija,moški,Poskusna doba,Delež vseh zaposlenih,0.7
2011,Bolgarija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,16.4
2011,Bolgarija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.4
2011,Bolgarija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,66.4
2011,Bolgarija,ženske,Poskusna doba,Delež vseh zaposlenih,0.7
2011,Bolgarija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,18.7
2011,Češka,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.4
2011,Češka,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,84
2011,Češka,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1
2011,Češka,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.8
2011,Češka,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7
2011,Češka,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,77.9
2011,Češka,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.9
