"AGE,""TIME"",""GEO"",""SEX"",""REASON"",""UNIT"",""Value"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Could not find permanent job"",""Percentage of employees"",""5.6"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""80.8"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""14.6"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""4.6"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Could not find permanent job"",""Percentage of employees"",""7.7"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""79.9"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""17.2"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""2.9"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Belgium"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""74.3"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Probationary period"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""16.4"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Could not find permanent job"",""Percentage of employees"",""2.4"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""66.4"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Probationary period"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""18.7"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Bulgaria"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""5.4"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""84.0"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""15.8"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""7.0"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""77.9"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.7"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Czechia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Could not find permanent job"",""Percentage of employees"",""2.9"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""42.5"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""13.2"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""In education or training"",""Percentage of employees"",""2.6"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""38.3"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""6.0"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Denmark"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Could not find permanent job"",""Percentage of employees"",""4.4"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""50.6"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.3"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""14.9"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""In education or training"",""Percentage of employees"",""2.6"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""30.2"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""4.2"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Denmark"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Could not find permanent job"",""Percentage of employees"",""2.3"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""19.2"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""In education or training"",""Percentage of employees"",""3.5"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""29.7"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Probationary period"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""14.0"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""No response"",""Percentage of employees"",""4.2"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Males"",""No response"",""Percentage of employees with a temporary job"",""35.1"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Could not find permanent job"",""Percentage of employees"",""2.7"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""21.2"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.9"""
"From 20 to 64 years,""2011"",""Germany (until 1990 former territory of the FRG)"",""Females"",""In education or training"",""Percentage of employees"",""3.5"""
