"UNIT,""TIME"",""REASON"",""GEO"",""SEX"",""AGE"",""Value"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Belgium"",""Males"",""From 15 to 74 years"",""4.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Belgium"",""Females"",""From 15 to 74 years"",""8.3"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Bulgaria"",""Males"",""From 15 to 74 years"",""3.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Bulgaria"",""Females"",""From 15 to 74 years"",""3.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Czechia"",""Males"",""From 15 to 74 years"",""5.0"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Czechia"",""Females"",""From 15 to 74 years"",""6.3"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Denmark"",""Males"",""From 15 to 74 years"",""3.4"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Denmark"",""Females"",""From 15 to 74 years"",""6.3"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Germany (until 1990 former territory of the FRG)"",""Males"",""From 15 to 74 years"",""2.1"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Germany (until 1990 former territory of the FRG)"",""Females"",""From 15 to 74 years"",""2.4"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Estonia"",""Males"",""From 15 to 74 years"",""1.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Estonia"",""Females"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Ireland"",""Males"",""From 15 to 74 years"",""0.8"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Ireland"",""Females"",""From 15 to 74 years"",""0.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Greece"",""Males"",""From 15 to 74 years"",""7.2"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Greece"",""Females"",""From 15 to 74 years"",""10.6"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Spain"",""Males"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Spain"",""Females"",""From 15 to 74 years"","":"""
"Percentage of employees,""2005"",""Could not find permanent job"",""France"",""Males"",""From 15 to 74 years"",""6.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""France"",""Females"",""From 15 to 74 years"",""8.7"""
"Percentage of employees,""2005"",""Could not find permanent job"",""Croatia"",""Males"",""From 15 to 74 years"",""6.8"""
