freq;unit;sex;age;reason;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC_SAL;F;Y15-74;INEDUC;AT,8.8 b,3.8 ,3.8 ,3.8 ,4.0 ,3.8 ,4.1 ,3.8 ,3.7 ,3.7 ,3.8 ,3.7 ,3.4 ,3.8 ,3.4 
A;PC_SAL;F;Y15-74;INEDUC;BE,0.4 b,0.4 ,0.5 ,0.5 ,0.4 ,0.3 ,0.4 ,0.3 ,0.4 ,0.4 ,0.3 ,0.4 ,0.2 bu,0.3 u,0.4 
A;PC_SAL;F;Y15-74;INEDUC;BG,0.3 bu,0.3 u,: u,: bu,: u,: bc,: bu,: c,: u,: c,: u,: u,: u,: u,: u
A;PC_SAL;F;Y15-74;INEDUC;CY,0.8 bu,0.6 u,0.8 u,0.5 u,0.5 bu,0.5 u,0.4 u,0.4 u,0.6 u,0.6 u,0.5 u,0.5 u,0.7 u,0.4 u,: u
A;PC_SAL;F;Y15-74;INEDUC;CZ,0.0 bu,0.1 u,0.1 u,0.1 u,0.1 u,0.0 u,: bc,0.1 u,0.1 u,: c,0.1 u,: c,0.1 u,0.3 u,0.4 
A;PC_SAL;F;Y15-74;INEDUC;DE,5.9 b,5.7 b,5.9 ,5.5 ,5.7 ,5.2 b,5.1 ,4.7 b,4.7 ,4.6 ,4.5 ,4.8 ,4.8 ,4.7 ,4.7 
A;PC_SAL;F;Y15-74;INEDUC;DK,2.5 b,1.9 ,2.6 ,2.6 b,2.7 ,2.4 ,2.7 ,2.5 ,2.7 ,2.2 ,2.6 ,3.3 b,3.2 b,2.7 ,2.8 
A;PC_SAL;F;Y15-74;INEDUC;EE,: bc,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A;PC_SAL;F;Y15-74;INEDUC;EL,1.1 b,0.8 ,1.0 ,1.1 ,0.8 b,0.7 ,0.7 ,0.7 ,0.4 ,0.6 ,0.9 ,1.2 ,1.1 ,0.9 ,0.9 
A;PC_SAL;F;Y15-74;INEDUC;ES,: ,1.5 b,1.3 ,1.1 ,1.2 b,1.0 ,0.9 ,1.0 ,1.0 ,1.3 ,1.3 ,1.3 ,1.2 ,1.1 ,1.0 
A;PC_SAL;F;Y15-74;INEDUC;FI,0.8 b,1.1 ,1.0 b,0.9 ,0.8 ,1.2 ,1.1 ,1.0 ,0.9 ,0.8 ,0.5 ,0.5 ,0.6 ,0.7 ,0.9 
A;PC_SAL;F;Y15-74;INEDUC;FR,2.2 b,2.0 b,2.2 ,2.2 ,2.1 ,2.1 ,2.2 ,2.4 ,1.7 ,2.1 b,1.8 ,1.8 ,1.9 ,2.0 ,1.9 
A;PC_SAL;F;Y15-74;INEDUC;HR,4.8 b,5.3 ,6.1 ,5.3 ,5.9 ,7.0 ,6.8 ,6.2 ,6.8 ,8.8 b,10.9 ,2.4 ,1.6 ,0.6 u,1.2 u
A;PC_SAL;F;Y15-74;INEDUC;HU,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,0.2 u,0.2 u,0.2 u
A;PC_SAL;F;Y15-74;INEDUC;IE,: bu,: ,0.4 b,0.4 ,0.4 ,0.3 u,0.3 u,0.9 ,1.3 ,1.2 ,1.1 ,0.7 ,0.7 b,1.0 ,1.0 
A;PC_SAL;F;Y15-74;INEDUC;IT,2.4 b,2.9 ,2.7 ,2.8 ,2.6 ,2.5 ,2.3 ,2.3 ,2.0 ,2.1 ,1.9 ,2.0 ,2.4 ,2.2 ,2.4 
A;PC_SAL;F;Y15-74;INEDUC;LT,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,0.2 u,0.2 u,0.2 u
A;PC_SAL;F;Y15-74;INEDUC;LU,: bu,1.4 ,1.4 b,1.3 ,2.0 b,1.5 ,1.4 ,1.5 ,1.3 ,1.7 ,1.9 b,: u,: u,0.7 u,: c
A;PC_SAL;F;Y15-74;INEDUC;LV,: bu,: u,0.4 ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: c,: c,: c
A;PC_SAL;F;Y15-74;INEDUC;MT,: bu,: u,: u,: u,: u,0.7 u,1.0 u,0.7 u,0.6 u,: u,0.7 u,1.2 ,0.5 u,0.9 u,1.6 
A;PC_SAL;F;Y15-74;INEDUC;NL,0.1 b,0.3 b,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.4 ,: u,0.1 u,: u,0.5 ,0.5 ,0.6 ,0.6 
A;PC_SAL;F;Y15-74;INEDUC;PL,2.3 b,2.7 ,3.1 ,3.3 ,3.0 ,3.3 b,2.7 b,2.9 ,3.2 ,3.6 ,3.5 ,2.8 ,2.5 ,2.7 ,2.5 
A;PC_SAL;F;Y15-74;INEDUC;PT,1.3 b,1.2 ,1.5 ,1.3 ,1.1 ,1.2 ,1.1 b,0.8 ,1.0 ,1.4 ,1.5 ,1.2 ,1.2 ,1.1 ,0.8 
A;PC_SAL;F;Y15-74;INEDUC;RO,: bu,: u,: u,: u,: u,: bu,: c,: u,: u,: u,: u,: u,: u,: u,: c
A;PC_SAL;F;Y15-74;INEDUC;SE,: bu,: u,: u,: u,: u,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 b,: u
A;PC_SAL;F;Y15-74;INEDUC;SI,1.0 bu,1.0 u,1.0 u,0.9 u,0.8 u,0.8 u,0.8 u,0.5 u,0.4 u,0.6 u,0.4 u,0.4 u,0.5 u,0.7 u,0.5 u
A;PC_SAL;F;Y15-74;INEDUC;SK,: ,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u
