freq;unit;sex;age;citizen;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC;F;Y15-74;TOTAL;AT,39.4 b,40.3 ,41.2 b,41.5 ,43.0 ,43.7 ,44.0 ,45.0 ,45.5 ,46.8 ,47.3 ,47.6 ,47.6 ,47.4 ,47.5 
A;PC;F;Y15-74;TOTAL;BE,40.5 b,41.1 ,40.5 ,40.9 ,41.5 ,42.2 ,43.4 b,43.6 ,42.7 ,41.4 ,41.6 ,42.2 ,41.3 b,41.2 ,41.2 
A;PC;F;Y15-74;TOTAL;BG,2.5 b,2.5 ,2.1 ,2.7 b,2.7 ,2.6 b,2.6 b,2.7 ,3.2 ,3.0 ,2.8 ,2.5 ,2.7 ,2.3 ,2.4 
A;PC;F;Y15-74;TOTAL;CY,13.9 b,11.9 ,10.8 ,11.3 ,12.2 b,12.4 ,12.7 ,13.6 ,16.1 ,17.1 ,16.4 ,16.4 ,16.0 ,14.8 ,15.0 
A;PC;F;Y15-74;TOTAL;CZ,8.5 b,8.6 ,8.5 ,8.4 ,9.1 ,9.8 ,9.3 b,9.4 ,10.9 ,10.3 ,10.2 ,11.0 ,12.0 ,12.2 ,11.9 
A;PC;F;Y15-74;TOTAL;DE,43.8 b,45.7 ,46.0 ,45.7 ,45.4 ,45.8 b,45.9 b,45.9 ,47.3 ,46.9 ,47.3 ,47.1 ,47.1 ,47.1 ,47.5 
A;PC;F;Y15-74;TOTAL;DK,33.0 b,35.4 ,35.5 ,35.5 b,37.2 ,37.9 ,36.9 ,35.8 ,35.5 ,35.1 ,34.6 ,36.7 b,35.8 b,35.0 ,34.7 
A;PC;F;Y15-74;TOTAL;EE,10.8 b,11.5 ,12.1 ,10.5 ,14.0 ,15.0 ,16.0 ,15.3 ,14.2 ,12.8 ,15.2 ,14.9 ,15.0 ,17.0 ,17.6 
A;PC;F;Y15-74;TOTAL;EL,9.3 b,10.2 ,10.1 ,9.9 ,10.4 b,10.4 ,10.2 ,11.9 ,12.7 ,13.2 ,13.1 ,13.8 ,14.1 ,13.2 ,13.5 
A;PC;F;Y15-74;TOTAL;ES,23.5 b,22.5 ,22.1 ,22.0 ,22.3 ,22.6 ,22.9 ,23.9 ,25.3 ,25.6 ,25.2 ,24.1 ,24.1 ,24.0 ,23.8 
A;PC;F;Y15-74;TOTAL;FI,18.6 b,19.2 ,19.3 ,18.2 b,19.0 ,19.6 ,19.6 ,20.1 ,20.2 ,20.2 ,19.8 ,21.3 ,21.6 ,21.8 ,22.5 
A;PC;F;Y15-74;TOTAL;FR,30.3 b,30.3 ,30.4 ,29.5 ,30.0 ,30.1 ,30.1 ,30.2 ,30.7 ,30.8 b,30.3 ,30.0 ,29.9 ,29.2 ,28.4 
A;PC;F;Y15-74;TOTAL;HR,13.0 b,11.1 b,9.7 ,10.2 ,10.2 ,10.9 ,10.8 ,8.2 ,7.3 ,7.5 ,8.2 ,7.8 ,6.7 ,7.3 ,7.4 
A;PC;F;Y15-74;TOTAL;HU,5.8 b,5.5 ,5.8 ,6.3 ,7.4 ,8.1 ,9.1 ,9.8 ,9.4 ,8.7 ,8.1 ,7.3 ,6.9 ,6.9 ,7.5 
A;PC;F;Y15-74;TOTAL;IE,: b,31.1 ,31.9 b,32.2 ,33.8 ,34.7 ,35.5 ,35.2 ,35.4 ,34.2 ,33.6 ,33.0 ,31.2 b,30.5 ,31.3 
A;PC;F;Y15-74;TOTAL;IT,25.6 b,26.4 ,26.8 ,27.8 ,27.8 ,28.9 ,29.2 ,30.9 ,31.8 ,32.2 ,32.5 ,32.8 ,32.5 ,32.4 ,32.9 
A;PC;F;Y15-74;TOTAL;LT,9.2 b,12.5 ,10.6 ,8.6 ,9.4 ,9.3 ,10.4 ,11.2 ,10.8 ,11.1 ,10.5 ,9.7 ,10.3 ,9.8 ,9.0 
A;PC;F;Y15-74;TOTAL;LU,38.2 b,36.2 ,37.2 b,38.3 ,35.0 b,36.0 ,36.1 ,36.3 ,36.0 ,35.7 ,34.3 b,35.1 ,35.4 ,31.8 ,30.5 
A;PC;F;Y15-74;TOTAL;LV,10.4 b,8.6 ,8.1 ,8.5 ,10.1 ,11.4 ,10.9 ,11.6 ,10.0 ,9.6 ,10.8 ,11.7 ,11.6 ,10.8 ,11.9 
A;PC;F;Y15-74;TOTAL;MT,20.4 b,21.6 ,24.6 ,25.3 ,23.7 ,24.8 ,25.9 ,26.1 ,26.1 ,28.5 ,26.9 ,26.2 ,25.1 ,23.1 ,21.7 
A;PC;F;Y15-74;TOTAL;NL,74.8 b,74.2 ,74.7 ,74.9 ,75.2 ,76.5 ,76.7 ,77.1 ,77.2 ,76.9 ,77.1 ,76.6 ,76.0 ,75.8 ,75.5 
A;PC;F;Y15-74;TOTAL;PL,14.0 b,12.9 ,12.3 ,11.6 ,11.5 ,11.5 b,11.1 ,11.1 ,11.0 ,11.0 ,10.5 ,10.3 ,10.7 ,10.4 ,10.1 
A;PC;F;Y15-74;TOTAL;PT,15.4 b,14.9 ,16.0 ,16.3 ,15.4 ,14.4 ,15.6 b,16.0 ,15.6 ,14.2 ,13.9 ,13.3 ,12.9 ,11.7 ,12.0 
A;PC;F;Y15-74;TOTAL;RO,10.5 b,9.8 ,10.4 ,10.8 ,10.6 ,11.6 b,11.8 ,11.5 ,11.2 ,11.1 ,10.6 ,9.2 ,8.3 ,8.2 ,7.6 
A;PC;F;Y15-74;TOTAL;SE,39.6 b,40.2 ,40.0 ,41.4 ,41.2 ,41.0 ,40.1 ,39.6 ,38.8 ,38.3 ,37.5 ,36.8 ,35.7 ,34.6 b,34.0 
A;PC;F;Y15-74;TOTAL;SI,10.9 b,11.3 ,10.9 ,11.0 ,12.8 ,14.4 ,13.0 ,12.8 ,13.2 ,14.5 ,14.3 ,13.6 ,15.0 ,14.9 ,13.0 
A;PC;F;Y15-74;TOTAL;SK,4.1 b,4.7 ,4.4 ,4.2 ,4.7 ,5.4 ,5.9 b,5.7 ,6.4 ,6.9 ,8.3 ,8.2 ,8.5 ,7.5 ,7.0 
A;PC;F;Y15-74;TOTAL;UK,42.4 b,42.3 ,42.0 b,41.6 b,42.4 ,43.1 ,43.0 ,43.2 ,42.5 ,42.3 ,42.1 ,42.0 ,41.4 ,40.8 ,40.5 
A;PC;M;Y15-74;TOTAL;AT,6.1 b,6.4 ,6.9 b,7.9 ,8.5 ,8.9 ,8.7 ,8.9 ,10.0 ,10.6 ,10.8 ,11.4 ,11.6 ,10.9 ,10.4 
A;PC;M;Y15-74;TOTAL;BE,7.5 b,7.3 ,7.4 ,7.8 ,8.5 ,8.8 ,9.7 b,9.4 ,9.2 ,9.0 ,9.9 ,10.1 ,10.7 b,10.5 ,11.2 
A;PC;M;Y15-74;TOTAL;BG,1.7 b,1.4 ,1.3 ,1.9 b,2.0 ,2.1 b,2.1 b,2.2 ,2.1 ,2.3 ,2.0 ,1.9 ,2.1 ,1.8 ,1.8 
A;PC;M;Y15-74;TOTAL;CY,4.5 b,3.9 ,4.1 ,4.5 ,5.1 b,6.1 ,7.2 ,7.6 ,9.2 ,11.1 ,11.0 ,12.0 ,9.9 ,8.3 ,7.5 
A;PC;M;Y15-74;TOTAL;CZ,2.0 b,2.1 ,2.2 ,2.1 ,2.6 ,2.8 ,2.4 b,2.8 ,3.1 ,3.1 ,3.0 ,3.1 ,3.4 ,3.6 ,3.8 
A;PC;M;Y15-74;TOTAL;DE,7.7 b,9.2 ,9.3 ,9.2 ,9.5 ,9.4 b,10.0 b,10.1 ,10.4 ,10.5 ,10.7 ,10.8 ,11.2 ,11.2 ,11.5 
A;PC;M;Y15-74;TOTAL;DK,12.6 b,13.2 ,13.3 ,13.8 b,14.9 ,14.4 ,14.7 ,15.5 ,15.2 ,15.8 ,16.1 ,16.8 b,16.8 b,15.9 ,16.7 
A;PC;M;Y15-74;TOTAL;EE,5.2 b,4.4 ,4.3 ,4.1 ,7.1 ,7.0 ,5.6 ,5.9 ,6.2 ,6.5 ,6.6 ,7.6 ,6.8 ,8.0 ,8.0 
