"SEX,""AGE"",""GEO"",""TIME"",""ISCED11"",""UNIT"",""Value"""
"Males,""From 15 to 24 years"",""Belgium"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""15.2"""
"Males,""From 15 to 24 years"",""Belgium"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""38.0"""
"Males,""From 15 to 24 years"",""Belgium"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""48.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2011"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""13.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""39.6"""
"Males,""From 15 to 24 years"",""Belgium"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""44.7"""
"Males,""From 15 to 24 years"",""Belgium"",""2012"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""11.1"""
"Males,""From 15 to 24 years"",""Belgium"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.9"""
"Males,""From 15 to 24 years"",""Belgium"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""42.5"""
"Males,""From 15 to 24 years"",""Belgium"",""2013"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""10.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""34.5"""
"Males,""From 15 to 24 years"",""Belgium"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""43.2"""
"Males,""From 15 to 24 years"",""Belgium"",""2014"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""10.1"""
"Males,""From 15 to 24 years"",""Belgium"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""35.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""45.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""9.7"""
"Males,""From 15 to 24 years"",""Belgium"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""35.1"""
"Males,""From 15 to 24 years"",""Belgium"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""39.5"""
"Males,""From 15 to 24 years"",""Belgium"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""11.5"""
"Males,""From 15 to 24 years"",""Belgium"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.0"""
"Males,""From 15 to 24 years"",""Belgium"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""37.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2017"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""13.2"""
"Males,""From 15 to 24 years"",""Belgium"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""37.5"""
"Males,""From 15 to 24 years"",""Belgium"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""46.8"""
"Males,""From 15 to 24 years"",""Belgium"",""2018"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Belgium"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""13.1"""
"Males,""From 15 to 24 years"",""Belgium"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""40.0"""
"Males,""From 15 to 24 years"",""Belgium"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""45.4"""
"Males,""From 15 to 24 years"",""Belgium"",""2019"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""5.4"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""39.3"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2011"",""Tertiary education (levels 5-8)"",""Percentage"",""61.5"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2011"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2012"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""6.2"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2012"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""37.6"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2012"",""Tertiary education (levels 5-8)"",""Percentage"",""62.2"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2012"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2013"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""5.9"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2013"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.2"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2013"",""Tertiary education (levels 5-8)"",""Percentage"",""55.3"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2013"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2014"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""7.0"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2014"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""35.8"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2014"",""Tertiary education (levels 5-8)"",""Percentage"",""51.7"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2014"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2015"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""7.0"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2015"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.9"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2015"",""Tertiary education (levels 5-8)"",""Percentage"",""57.4"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2015"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2016"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""7.7"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2016"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""35.4"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2016"",""Tertiary education (levels 5-8)"",""Percentage"",""56.1"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2016"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2017"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""8.8"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2017"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""40.1"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2017"",""Tertiary education (levels 5-8)"",""Percentage"",""62.7"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2017"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2018"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""9.2"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2018"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.3"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2018"",""Tertiary education (levels 5-8)"",""Percentage"",""62.0"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2018"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2019"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""11.3"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2019"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""36.5"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2019"",""Tertiary education (levels 5-8)"",""Percentage"",""69.5"""
"Males,""From 15 to 24 years"",""Bulgaria"",""2019"",""No response"",""Percentage"","":"""
"Males,""From 15 to 24 years"",""Czechia"",""2011"",""Less than primary, primary and lower secondary education (levels 0-2)"",""Percentage"",""4.6"""
"Males,""From 15 to 24 years"",""Czechia"",""2011"",""Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"",""Percentage"",""49.5"""
