freq;unit;sex;age;isced11;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC;F;Y15-24;ED0-2;AT,26.6 b,29.7 b,33.8 b,34.3 ,31.7 ,30.3 ,31.5 ,30.8 ,30.0 ,31.0 b,31.5 ,28.1 ,27.2 ,29.1 ,27.6 
A;PC;F;Y15-24;ED0-2;BE,9.3 b,8.4 ,9.2 ,9.3 b,9.0 ,8.9 ,9.1 b,9.0 ,7.2 ,7.6 b,6.2 ,7.5 ,7.8 b,10.8 ,10.9 
A;PC;F;Y15-24;ED0-2;BG,5.0 b,4.2 b,4.9 ,5.5 b,4.4 ,3.6 bu,3.1 bu,4.3 u,3.5 u,2.7 bu,3.2 u,3.5 u,4.3 ,4.2 ,4.5 
A;PC;F;Y15-24;ED0-2;CY,10.9 b,9.7 ,10.0 ,10.6 ,10.0 b,13.3 ,10.0 ,7.5 ,4.4 u,3.6 bu,2.7 u,4.5 u,7.1 u,6.5 u,6.2 u
A;PC;F;Y15-24;ED0-2;CZ,2.8 b,2.5 ,2.7 ,3.0 ,3.4 ,2.6 ,2.7 b,3.0 ,3.4 ,3.3 b,3.4 ,5.3 ,5.7 ,5.5 ,5.8 
A;PC;F;Y15-24;ED0-2;DE,26.7 b,27.7 ,29.2 ,29.8 ,29.6 ,29.0 b,40.1 b,37.7 ,38.3 ,26.6 b,26.2 ,26.3 ,26.9 ,26.5 ,26.9 
A;PC;F;Y15-24;ED0-2;DK,53.8 b,57.6 ,56.5 b,53.0 b,50.7 ,46.0 ,43.8 ,41.5 ,39.7 ,39.1 b,40.1 ,42.7 b,42.4 b,42.2 ,42.5 
A;PC;F;Y15-24;ED0-2;EE,7.9 bu,7.2 u,10.5 ,11.3 ,7.6 ,6.1 u,10.3 ,9.5 ,9.2 ,10.1 b,12.4 ,12.6 ,14.5 ,18.1 ,15.0 
A;PC;F;Y15-24;ED0-2;EL,8.0 b,8.4 ,8.6 ,8.4 ,7.7 b,6.8 ,4.9 ,4.1 ,3.3 ,3.0 b,3.0 ,2.3 ,1.8 ,1.0 u,1.3 u
A;PC;F;Y15-24;ED0-2;ES,31.2 b,32.8 ,32.1 ,30.0 ,22.4 ,19.9 ,18.2 ,14.3 ,12.4 ,12.0 b,12.8 ,11.6 ,13.5 ,14.3 ,14.2 
A;PC;F;Y15-24;ED0-2;FI,22.3 b,23.0 ,26.1 ,26.2 b,23.4 ,22.2 ,22.0 ,23.9 ,24.0 ,23.3 b,22.4 ,22.3 ,23.5 ,24.7 ,25.9 
A;PC;F;Y15-24;ED0-2;FR,10.5 b,10.9 ,10.9 ,11.2 ,11.6 ,9.9 ,10.2 ,9.9 ,8.5 b,7.5 b,7.4 ,6.2 ,6.4 ,6.5 ,6.6 
A;PC;F;Y15-24;ED0-2;HR,4.0 bu,3.2 bu,3.1 u,3.2 u,3.5 u,3.6 bu,2.8 u,2.1 u,: u,1.3 bu,2.3 u,: u,1.6 u,2.1 u,1.6 u
A;PC;F;Y15-24;ED0-2;HU,4.4 b,4.4 ,3.9 ,4.1 ,3.4 ,4.0 ,3.5 ,3.4 ,3.1 ,4.4 b,6.0 ,6.6 ,7.0 ,5.5 ,4.5 
A;PC;F;Y15-24;ED0-2;IE,17.4 b,17.0 ,26.6 b,22.3 ,16.1 ,13.4 ,10.7 ,10.2 ,10.9 ,9.2 b,10.2 ,11.5 ,9.9 b,9.7 ,11.4 
A;PC;F;Y15-24;ED0-2;IT,11.7 b,10.2 ,10.2 ,9.7 ,8.3 ,7.8 ,7.0 ,6.6 ,5.4 ,4.6 b,4.5 ,4.6 ,4.4 ,5.1 ,5.0 
A;PC;F;Y15-24;ED0-2;LT,: bu,: u,: u,: u,: u,: u,: u,: u,2.2 u,1.9 bu,2.1 u,3.7 u,4.4 u,5.2 u,4.5 u
